username;shortcode;commentCount;commentCountWithAnswers;comment_id;text;created_at;ownerId;ownerUsername
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18042781813184031;"warmest years on record: 2016, 2015, 2017, 2018, 2014, 2010, 2013, 2005, 2009, and 1998.";1559080660;1611279534;"jcalirani"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17877421621366636;"Ja, man kann alles schlecht reden. Es gibt ja keine idealen Zustände, keine perfekten Menschen und schon gar keine perfekten Jugendlichen. Und wer hat ihnen denn vorgelebt, dass Müll wegwerfen in Ordung ist? Dass Konsum das höchste Lebensziel ist??? Die jungen Menschen die gerade erst dabei sind, erwachsen zu werden zeigen zum Teil schon mehr Reife, als die älteren Generationen. Weil so nach vorn ➡️blicken. Ja es wird drastische und sehr unbequeme Veränderungen geben - müssen.  So oder so. Egal ob Kinder streiken oder nicht. Macht die Augen auf oder träumt weiter!";1559127655;8144172196;"beinglikebumblebee"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18070242115011695;"eine klimawahl****";1559079525;5881239324;"luzie.ilui"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17881995259359640;"Bäh wieso wollen soviele Erstwähler denn die fdp?";1559125233;10032175237;"sophiehauser00"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18071141209043642;"Wäre cool wenn da die #ÖDP mit auftauchen würde, sind die einzigen die wachstumskritisch, sozial-ökologisch sind! :)";1559168798;5390760584;"vanieldichel"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18053591587129333;"nichts gegen fff, aber lern mal schreiben";1559429787;1602976793;"_sheeshkabob_"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17851971658442797;"Du är bäst  för att din bild är alltid i min  instagram omslag helt enkelt !";1559242004;8545092543;"payaandar"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17893192948329275;"🔥";1559140849;13587819828;"antipollutionclub"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18038013601146749;"das passt sonst irgendwie nicht";1559429803;1602976793;"_sheeshkabob_"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17877533575367876;"Ist ja im wahrsten Sinne des Wortes der Shiiiiit! Sehr geil!";1558889076;5944884915;"tomheidekorn"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17884936972352539;"Bummel 🙌❤️";1558889441;234569230;"annikwalter"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17903388604307967;"Neues Klopapier @christin.ha ?☺️";1558890794;2025845853;"deetanzt"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18041002360189582;"💩💩💩 Let's talk 💩💩💩";1558889514;1540461726;"goldeimer"
